"genre","Avg_Danceability","Avg_Energy","Avg_Loudness","Avg_Valence","Avg_Tempo","Total_Songs"
"pop",0.647885514018692,0.716376168224299,-5.5629976635514,0.554914953271028,120.554521028037,428
"hip hop, pop",0.734101083032491,0.698703971119134,-5.52387364620939,0.555981949458484,118.958054151625,277
"hip hop, pop, R&B",0.711389344262295,0.661897540983607,-6.0672868852459,0.575916393442623,115.129979508197,244
"pop, Dance/Electronic",0.65479185520362,0.760185520361991,-5.18739819004525,0.528706787330317,123.420239819005,221
"pop, R&B",0.657112359550562,0.657949438202247,-5.6952808988764,0.533893820224719,117.098117977528,178
"hip hop",0.72383064516129,0.683387096774194,-5.82314516129032,0.529472580645161,116.859556451613,124
"hip hop, pop, Dance/Electronic",0.667782051282051,0.815192307692308,-4.12137179487179,0.542826923076923,122.003371794872,78
"rock",0.526206896551724,0.809327586206897,-4.66734482758621,0.519758620689655,129.942655172414,58
"rock, pop",0.535813953488372,0.756162790697674,-5.56537209302326,0.502813953488372,124.950325581395,43
"Dance/Electronic",0.684609756097561,0.775829268292683,-5.99239024390244,0.523585365853659,125.507536585366,41
